p":-1.07,"r":8.69},"acceleration":{"x":-1201,"y":932,"z":5457}}
0.2:{"time":39378,"ypr":{"y":142.68,"p":-1.03,"r":8.63},"acceleration":{"x":-1189,"y":971,"z":5353}}
0.2:{"time":39664,"ypr":{"y":143.30,"p":-1.09,"r":7.47},"acceleration":{"x":-1133,"y":1023,"z":5066}}
0.2:{"time":39678,"ypr":{"y":143.35,"p":-1.20,"r":7.42},"acceleration":{"x":-1125,"y":1028,"z":5087}}
0.2:{"time":39694,"ypr":{"y":143.41,"p":-1.28,"r":7.38},"acceleration":{"x":-1125,"y":997,"z":5108}}
0.2:{"time":39709,"ypr":{"y":143.49,"p":-1.37,"r":7.35},"acceleration":{"x":-1121,"y":986,"z":5130}}
0.2:{"time":39724,"ypr":{"y":143.59,"p":-1.44,"r":7.34},"acceleration":{"x":-1136,"y":956,"z":5161}}
0.2:{"time":39739,"ypr":{"y":143.69,"p":-1.49,"r":7.33},"acceleration":{"x":-1170,"y":916,"z":5198}}
0.2:{"time":39754,"ypr":{"y":143.81,"p":-1.54,"r":7.35},"acceleration":{"x":-1204,"y":866,"z":5238}}
0.2:{"time":39769,"ypr":{"y":143.94,"p":-1.57,"r":7.36},"acceleration":{"x":-1229,"y":822,"z":5280}}
0.2:{"time":39784,"ypr":{"y":144.06,"p":-1.60,"r":7.37},"acceleration":{"x":-1230,"y":767,"z":5329}}
0.2:{"time":39799,"ypr":{"y":144.18,"p":-1.62,"r":7.38},"acceleration":{"x":-1242,"y":708,"z":5342}}
0.2:{"time":39814,"ypr":{"y":144.29,"p":-1.65,"r":7.36},"acceleration":{"x":-1235,"y":693,"z":5348}}
0.2:{"time":39829,"ypr":{"y":144.41,"p":-1.69,"r":7.32},"acceleration":{"x":-1224,"y":684,"z":5323}}
0.2:{"time":39844,"ypr":{"y":144.51,"p":-1.71,"r":7.27},"acceleration":{"x":-1238,"y":687,"z":5295}}
0.2:{"time":39859,"ypr":{"y":144.61,"p":-1.74,"r":7.22},"acceleration":{"x":-1233,"y":709,"z":5258}}
0.2:{"time":39874,"ypr":{"y":144.70,"p":-1.78,"r":7.16},"acceleration":{"x":-1250,"y":735,"z":5197}}
0.2:{"time":39889,"ypr":{"y":144.80,"p":-1.83,"r":7.10},"acceleration":{"x":-1268,"y":766,"z":5162}}
0.2:{"time":39904,"ypr":{"y":144.90,"p":-1.87,"r":7.07},"acceleration":{"x":-1270,"y":800,"z":5148}}
0.2:{"time":39919,"ypr":{"y":145.00,"p":-1.92,"r":7.04},"acceleration":{"x":-1252,"y":831,"z":5153}}
0.2:{"time":39934,"ypr":{"y":145.10,"p":-1.96,"r":7.04},"acceleration":{"x":-1237,"y":843,"z":5162}}
0.2:{"time":39949,"ypr":{"y":145.20,"p":-1.98,"r":7.03},"acceleration":{"x":-1241,"y":835,"z":5159}}
0.2:{"time":39964,"ypr":{"y":145.29,"p":-2.01,"r":7.01},"acceleration":{"x":-1246,"y":822,"z":5149}}
0.2:{"time":39980,"ypr":{"y":145.38,"p":-2.04,"r":7.00},"acceleration":{"x":-1229,"y":823,"z":5134}}
0.2:{"time":39994,"ypr":{"y":145.46,"p":-2.08,"r":6.99},"acceleration":{"x":-1221,"y":821,"z":5122}}
0.2:{"time":40009,"ypr":{"y":145.54,"p":-2.10,"r":6.98},"acceleration":{"x":-1238,"y":817,"z":5078}}
0.2:{"time":40025,"ypr":{"y":145.62,"p":-2.13,"r":6.95},"acceleration":{"x":-1274,"y":834,"z":5037}}
0.2:{"time":40039,"ypr":{"y":145.69,"p":-2.17,"r":6.92},"acceleration":{"x":-1311,"y":850,"z":4998}}
0.2:{"time":40054,"ypr":{"y":145.76,"p":-2.21,"r":6.90},"acceleration":{"x":-1330,"y":870,"z":5001}}
0.2:{"time":40070,"ypr":{"y":145.85,"p":-2.23,"r":6.90},"acceleration":{"x":-1356,"y":871,"z":5004}}
0.2:{"time":40084,"ypr":{"y":145.92,"p":-2.25,"r":6.90},"acceleration":{"x":-1365,"y":872,"z":5024}}
0.2:{"time":40099,"ypr":{"y":146.00,"p":-2.27,"r":6.91},"acceleration":{"x":-1384,"y":849,"z":5043}}
0.2:{"time":40114,"ypr":{"y":146.08,"p":-2.28,"r":6.92},"acceleration":{"x":-1405,"y":830,"z":5058}}
0.2:{"time":40129,"ypr":{"y":146.16,"p":-2.30,"r":6.94},"acceleration":{"x":-1429,"y":822,"z":5076}}
0.2:{"time":40144,"ypr":{"y":146.22,"p":-2.34,"r":6.95},"acceleration":{"x":-1440,"y":821,"z":5127}}
0.2:{"time":40159,"ypr":{"y":146.29,"p":-2.38,"r":6.98},"acceleration":{"x":-1420,"y":852,"z":5215}}
0.2:{"time":40174,"ypr":{"y":146.36,"p":-2.40,"r":7.01},"acceleration":{"x":-1411,"y":873,"z":5296}}
0.2:{"time":40189,"ypr":{"y":146.43,"p":-2.38,"r":7.06},"acceleration":{"x":-1403,"y":855,"z":5368}}
0.2:{"time":40204,"ypr":{"y":146.51,"p":-2.36,"r":7.11},"acceleration":{"x":-1389,"y":837,"z":5433}}
0.2:{"time":40219,"ypr":{"y":146.58,"p":-2.32,"r":7.14},"acceleration":{"x":-1397,"y":786,"z":5451}}
0.2:{"time":40235,"ypr":{"y":146.63,"p":-2.30,"r":7.16},"acceleration":{"x":-1371,"y":765,"z":5472}}
0.2:{"time":40249,"ypr":{"y":146.68,"p":-2.27,"r":7.15},"acceleration":{"x":-1337,"y":778,"z":5436}}
0.2:{"time":40264,"ypr":{"y":146.74,"p":-2.22,"r":7.14},"acceleration":{"x":-1341,"y":784,"z":5368}}
0.2:{"time":40280,"ypr":{"y":146.80,"p":-2.19,"r":7.12},"acceleration":{"x":-1348,"y":797,"z":5290}}
0.2:{"time":40294,"ypr":{"y":146.88,"p":-2.16,"r":7.12},"acceleration":{"x":-1318,"y":817,"z":5197}}
0.2:{"time":40309,"ypr":{"y":146.97,"p":-2.18,"r":7.14},"acceleration":{"x":-1264,"y":837,"z":5100}}
0.2:{"time":40325,"ypr":{"y":147.06,"p":-2.20,"r":7.16},"acceleration":{"x":-1190,"y":878,"z":5025}}
0.2:{"time":40339,"ypr":{"y":147.17,"p":-2.24,"r":7.20},"acceleration":{"x":-1148,"y":917,"z":4951}}
0.2:{"time":40354,"ypr":{"y":147.31,"p":-2.26,"r":7.24},"acceleration":{"x":-1135,"y":974,"z":4913}}
0.2:{"time":40370,"ypr":{"y":147.46,"p":-2.25,"r":7.32},"acceleration":{"x":-1150,"y":997,"z":4905}}
0.2:{"time":40384,"ypr":{"y":147.63,"p":-2.23,"r":7.45},"acceleration":{"x":-1178,"y":1019,"z":4908}}
0.2:{"time":40399,"ypr":{"y":147.81,"p":-2.17,"r":7.62},"acceleration":{"x":-1201,"y":1038,"z":4962}}
0.2:{"time":40415,"ypr":{"y":147.98,"p":-2.08,"r":7.82},"acceleration":{"x":-1218,"y":1048,"z":5053}}
0.2:{"time":40429,"ypr":{"y":148.15,"p":-1.96,"r":8.02},"acceleration":{"x":-1233,"y":1048,"z":5153}}
0.2:{"time":40444,"ypr":{"y":148.34,"p":-1.82,"r":8.20},"acceleration":{"x":-1245,"y":1105,"z":5231}}
0.2:{"time":40460,"ypr":{"y":148.52,"p":-1.63,"r":8.38},"acceleration":{"x":-1255,"y":1102,"z":5277}}
0.2:{"time":40474,"ypr":{"y":148.68,"p":-1.45,"r":8.53},"acceleration":{"x":-1272,"y":1066,"z":5282}}
0.2:{"time":40489,"ypr":{"y":148.83,"p":-1.30,"r":8.64},"acceleration":{"x":-1289,"y":1053,"z":5291}}
0.2:{"time":40505,"ypr":{"y":148.96,"p":-1.18,"r":8.72},"acceleration":{"x":-1301,"y":1035,"z":5276}}
0.2:{"time":40519,"ypr":{"y":149.05,"p":-1.11,"r":8.75},"acceleration":{"x":-1306,"y":1080,"z":5286}}
0.2:{"time":40535,"ypr":{"y":149.13,"p":-1.06,"r":8.76},"acceleration":{"x":-1263,"y":1150,"z":5315}}
0.2:{"time":40549,"ypr":{"y":149.20,"p":-1.02,"r":8.75},"acceleration":{"x":-1233,"y":1186,"z":5307}}
0.2:{"time":40564,"ypr":{"y":149.27,"p":-0.95,"r":8.73},"acceleration":{"x":-1237,"y":1209,"z":5276}}
0.2:{"time":40580,"ypr":{"y":149.35,"p":-0.90,"r":8.70},"acceleration":{"x":-1250,"y":1220,"z":5190}}
0.2:{"time":40594,"ypr":{"y":149.43,"p":-0.87,"r":8.66},"acceleration":{"x":-1272,"y":1241,"z":5080}}
0.2:{"time":40609,"ypr":{"y":149.54,"p":-0.86,"r":8.65},"acceleration":{"x":-1285,"y":1256,"z":5000}}
0.2:{"time":40625,"ypr":{"y":149.65,"p":-0.85,"r":8.66},"acceleration":{"x":-1298,"y":1249,"z":4914}}
0.2:{"time":40639,"ypr":{"y":149.78,"p":-0.86,"r":8.68},"acceleration":{"x":-1325,"y":1248,"z":4813}}
0.2:{"time":40654,"ypr":{"y":149.94,"p":-0.88,"r":8.73},"acceleration":{"x":-1366,"y":1261,"z":4761}}
0.2:{"time":40670,"ypr":{"y":150.11,"p":-0.86,"r":8.83},"acceleration":{"x":-1407,"y":1252,"z":4747}}
0.2:{"time":40684,"ypr":{"y":150.31,"p":-0.83,"r":8.97},"acceleration":{"x":-1434,"y":1274,"z":4767}}
0.2:{"time":40699,"ypr":{"y":150.52,"p":-0.74,"r":9.17},"acceleration":{"x":-1459,"y":1257,"z":4825}}
0.2:{"time":40715,"ypr":{"y":150.76,"p":-0.61,"r":9.40},"acceleration":{"x":-1466,"y":1245,"z":4895}}
0.2:{"time":40729,"ypr":{"y":150.99,"p":-0.47,"r":9.63},"acceleration":{"x":-1499,"y":1198,"z":4931}}
0.2:{"time":40744,"ypr":{"y":151.23,"p":-0.34,"r":9.84},"acceleration":{"x":-1495,"y":1170,"z":4943}}
0.2:{"time":40760,"ypr":{"y":151.46,"p":-0.25,"r":10.04},"acceleration":{"x":-1461,"y":1164,"z":4923}}
0.2:{"time":40774,"ypr":{"y":151.69,"p":-0.20,"r":10.19},"acceleration":{"x":-1395,"y":1183,"z":4951}}
0.2:{"time":40790,"ypr":{"y":151.92,"p":-0.17,"r":10.32},"acceleration":{"x":-1322,"y":1263,"z":4962}}
0.2:{"time":40805,"ypr":{"y":152.18,"p":-0.11,"r":10.46},"acceleration":{"x":-1257,"y":1344,"z":5023}}
0.2:{"time":40819,"ypr":{"y":152.44,"p":-0.02,"r":10.59},"acceleration":{"x":-1185,"y":1436,"z":5072}}
0.2:{"time":40835,"ypr":{"y":152.73,"p":0.14,"r":10.70},"acceleration":{"x":-1169,"y":1521,"z":5049}}
0.2:{"time":40850,"ypr":{"y":153.03,"p":0.36,"r":10.80},"acceleration":{"x":-1237,"y":1574,"z":4974}}
0.2:{"time":40864,"ypr":{"y":153.36,"p":0.60,"r":10.92},"acceleration":{"x":-1290,"y":1523,"z":4892}}
0.2:{"time":40880,"ypr":{"y":153.69,"p":0.82,"r":11.02},"acceleration":{"x":-1315,"y":1476,"z":4790}}
0.2:{"time":40895,"ypr":{"y":154.01,"p":0.99,"r":11.13},"acceleration":{"x":-1241,"y":1427,"z":4765}}
0.2:{"time":40909,"ypr":{"y":154.33,"p":1.13,"r":11.20},"acceleration":{"x":-1249,"y":1472,"z":4799}}
0.2:{"time":40925,"ypr":{"y":154.67,"p":1.25,"r":11.31},"acceleration":{"x":-1172,"y":1551,"z":4903}}
0.2:{"time":40940,"ypr":{"y":155.02,"p":1.40,"r":11.44},"acceleration":{"x":-1082,"y":1581,"z":4998}}
0.2:{"time":40954,"ypr":{"y":155.36,"p":1.56,"r":11.54},"acceleration":{"x":-989,"y":1613,"z":5072}}
0.2:{"time":40970,"ypr":{"y":155.72,"p":1.77,"r":11.64},"acceleration":{"x":-967,"y":1606,"z":5077}}
0.2:{"time":40984,"ypr":{"y":156.06,"p":2.00,"r":11.70},"acceleration":{"x":-994,"y":1563,"z":5051}}
0.2:{"time":40999,"ypr":{"y":156.39,"p":2.23,"r":11.75},"acceleration":{"x":-994,"y":1509,"z":5022}}
0.2:{"time":41015,"ypr":{"y":156.70,"p":2.40,"r":11.75},"acceleration":{"x":-1051,"y":1548,"z":4999}}
0.2:{"time":41029,"ypr":{"y":156.98,"p":2.52,"r":11.82},"acceleration":{"x":-967,"y":1579,"z":5127}}
0.2:{"time":41044,"ypr":{"y":157.25,"p":2.63,"r":11.91},"acceleration":{"x":-868,"y":1614,"z":5243}}
0.2:{"time":41060,"ypr":{"y":157.51,"p":2.75,"r":11.98},"acceleration":{"x":-750,"y":1674,"z":5347}}
0.2:{"time":41074,"ypr":{"y":157.76,"p":2.88,"r":12.05},"acceleration":{"x":-649,"y":1687,"z":5424}}
0.2:{"time":41090,"ypr":{"y":157.98,"p":3.03,"r":12.09},"acceleration":{"x":-623,"y":1605,"z":5449}}
0.2:{"time":41105,"ypr":{"y":158.17,"p":3.12,"r":12.09},"acceleration":{"x":-608,"y":1533,"z":5457}}
0.2:{"time":41119,"ypr":{"y":158.31,"p":3.13,"r":12.02},"acceleration":{"x":-605,"y":1489,"z":5446}}
0.2:{"time":41135,"ypr":{"y":158.41,"p":3.08,"r":11.92},"acceleration":{"x":-578,"y":1470,"z":5470}}
0.2:{"time":41150,"ypr":{"y":158.48,"p":2.97,"r":11.76},"acceleration":{"x":-532,"y":1521,"z":5509}}
0.2:{"time":41164,"ypr":{"y":158.54,"p":2.82,"r":11.59},"acceleration":{"x":-421,"y":1598,"z":5514}}
0.2:{"time":41180,"ypr":{"y":158.62,"p":2.68,"r":11.42},"acceleration":{"x":-333,"y":1657,"z":5485}}
0.2:{"time":41195,"ypr":{"y":158.72,"p":2.58,"r":11.27},"acceleration":{"x":-326,"y":1685,"z":5430}}
0.2:{"time":41209,"ypr":{"y":158.82,"p":2.51,"r":11.15},"acceleration":{"x":-374,"y":1643,"z":5354}}
0.2:{"time":41225,"ypr":{"y":158.93,"p":2.44,"r":11.02},"acceleration":{"x":-424,"y":1590,"z":5291}}
0.2:{"time":41240,"ypr":{"y":159.02,"p":2.37,"r":10.90},"acceleration":{"x":-539,"y":1558,"z":5185}}
0.2:{"time":41254,"ypr":{"y":159.13,"p":2.26,"r":10.81},"acceleration":{"x":-605,"y":1515,"z":5163}}
0.2:{"time":41270,"ypr":{"y":159.22,"p":2.14,"r":10.73},"acceleration":{"x":-686,"y":1472,"z":5179}}
0.2:{"time":41285,"ypr":{"y":159.31,"p":2.00,"r":10.67},"acceleration":{"x":-719,"y":1473,"z":5246}}
0.2:{"time":41299,"ypr":{"y":159.40,"p":1.88,"r":10.62},"acceleration":{"x":-712,"y":1470,"z":5301}}
0.2:{"time":41315,"ypr":{"y":159.47,"p":1.78,"r":10.57},"acceleration":{"x":-743,"y":1454,"z":5322}}
0.2:{"time":41330,"ypr":{"y":159.55,"p":1.69,"r":10.51},"acceleration":{"x":-752,"y":1413,"z":5293}}
0.2:{"time":41345,"ypr":{"y":159.64,"p":1.58,"r":10.43},"acceleration":{"x":-781,"y":1388,"z":5232}}
0.2:{"time":41360,"ypr":{"y":159.72,"p":1.46,"r":10.35},"acceleration":{"x":-797,"y":1390,"z":5179}}
0.2:{"time":41375,"ypr":{"y":159.82,"p":1.35,"r":10.28},"acceleration":{"x":-833,"y":1367,"z":5173}}
0.2:{"time":41390,"ypr":{"y":159.92,"p":1.22,"r":10.21},"acceleration":{"x":-852,"y":1368,"z":5159}}
0.2:{"time":41405,"ypr":{"y":160.02,"p":1.12,"r":10.15},"acceleration":{"x":-892,"y":1369,"z":5159}}
0.2:{"time":41419,"ypr":{"y":160.13,"p":1.03,"r":10.10},"acceleration":{"x":-900,"y":1349,"z":5184}}
0.2:{"time":41435,"ypr":{"y":160.24,"p":0.96,"r":10.04},"acceleration":{"x":-921,"y":1322,"z":5135}}
0.2:{"time":41450,"ypr":{"y":160.34,"p":0.89,"r":9.97},"acceleration":{"x":-974,"y":1294,"z":5077}}
0.2:{"time":41464,"ypr":{"y":160.43,"p":0.82,"r":9.92},"acceleration":{"x":-1021,"y":1260,"z":5034}}
0.2:{"time":41480,"ypr":{"y":160.52,"p":0.71,"r":9.86},"acceleration":{"x":-1063,"y":1254,"z":5019}}
0.2:{"time":41495,"ypr":{"y":160.59,"p":0.58,"r":9.80},"acceleration":{"x":-1050,"y":1270,"z":5045}}
0.2:{"time":41509,"ypr":{"y":160.67,"p":0.47,"r":9.77},"acceleration":{"x":-1028,"y":1271,"z":5090}}
0.2:{"time":41525,"ypr":{"y":160.74,"p":0.40,"r":9.74},"acceleration":{"x":-1020,"y":1263,"z":5160}}
0.2:{"time":41540,"ypr":{"y":160.80,"p":0.34,"r":9.72},"acceleration":{"x":-1031,"y":1217,"z":5198}}
0.2:{"time":41554,"ypr":{"y":160.86,"p":0.29,"r":9.69},"acceleration":{"x":-1016,"y":1229,"z":5212}}
0.2:{"time":41570,"ypr":{"y":160.94,"p":0.23,"r":9.66},"acceleration":{"x":-1018,"y":1222,"z":5214}}
0.2:{"time":41585,"ypr":{"y":161.01,"p":0.19,"r":9.61},"acceleration":{"x":-1065,"y":1194,"z":5201}}
0.2:{"time":41600,"ypr":{"y":161.10,"p":0.12,"r":9.57},"acceleration":{"x":-1114,"y":1186,"z":5198}}
0.2:{"time":41615,"ypr":{"y":161.20,"p":0.04,"r":9.53},"acceleration":{"x":-1142,"y":1176,"z":5230}}
0.2:{"time":41630,"ypr":{"y":161.29,"p":-0.00,"r":9.50},"acceleration":{"x":-1169,"y":1129,"z":5250}}
0.2:{"time":41645,"ypr":{"y":161.38,"p":-0.04,"r":9.48},"acceleration":{"x":-1183,"y":1110,"z":5267}}
0.2:{"time":41660,"ypr":{"y":161.45,"p":-0.04,"r":9.45},"acceleration":{"x":-1226,"y":1082,"z":5264}}
0.2:{"time":41675,"ypr":{"y":161.50,"p":-0.04,"r":9.41},"acceleration":{"x":-1255,"y":1059,"z":5215}}
0.2:{"time":41690,"ypr":{"y":161.55,"p":-0.06,"r":9.35},"acceleration":{"x":-1268,"y":1039,"z":5160}}
0.2:{"time":41705,"ypr":{"y":161.58,"p":-0.09,"r":9.30},"acceleration":{"x":-1259,"y":1029,"z":5133}}
0.2:{"time":41720,"ypr":{"y":161.61,"p":-0.15,"r":9.23},"acceleration":{"x":-1185,"y":1066,"z":5124}}
0.2:{"time":41735,"ypr":{"y":161.63,"p":-0.18,"r":9.17},"acceleration":{"x":-1130,"y":1087,"z":5101}}
0.2:{"time":41750,"ypr":{"y":161.65,"p":-0.20,"r":9.10},"acceleration":{"x":-1064,"y":1131,"z":5097}}
0.2:{"time":41765,"ypr":{"y":161.67,"p":-0.20,"r":9.04},"acceleration":{"x":-1036,"y":1158,"z":5045}}
0.2:{"time":41780,"ypr":{"y":161.71,"p":-0.23,"r":8.98},"acceleration":{"x":-990,"y":1194,"z":5014}}
0.2:{"time":41795,"ypr":{"y":161.77,"p":-0.28,"r":8.93},"acceleration":{"x":-968,"y":1198,"z":4990}}
0.2:{"time":41810,"ypr":{"y":161.83,"p":-0.36,"r":8.89},"acceleration":{"x":-960,"y":1218,"z":5004}}
0.2:{"time":41825,"ypr":{"y":161.90,"p":-0.45,"r":8.87},"acceleration":{"x":-934,"y":1256,"z":5047}}
0.2:{"time":41840,"ypr":{"y":161.98,"p":-0.52,"r":8.88},"acceleration":{"x":-882,"y":1221,"z":5136}}
0.2:{"time":41854,"ypr":{"y":162.08,"p":-0.61,"r":8.85},"acceleration":{"x":-799,"y":1270,"z":5163}}
0.2:{"time":41870,"ypr":{"y":162.16,"p":-0.65,"r":8.84},"acceleration":{"x":-841,"y":1311,"z":5157}}
0.2:{"time":41885,"ypr":{"y":162.27,"p":-0.67,"r":8.90},"acceleration":{"x":-837,"y":1286,"z":5188}}
0.2:{"time":41900,"ypr":{"y":162.36,"p":-0.69,"r":8.95},"acceleration":{"x":-873,"y":1279,"z":5198}}
0.2:{"time":41915,"ypr":{"y":162.47,"p":-0.73,"r":8.99},"acceleration":{"x":-879,"y":1268,"z":5216}}
0.2:{"time":41930,"ypr":{"y":162.59,"p":-0.76,"r":9.02},"acceleration":{"x":-876,"y":1262,"z":5196}}
0.2:{"time":41945,"ypr":{"y":162.70,"p":-0.80,"r":9.06},"acceleration":{"x":-920,"y":1230,"z":5158}}
0.2:{"time":41960,"ypr":{"y":162.81,"p":-0.85,"r":9.09},"acceleration":{"x":-994,"y":1187,"z":5134}}
0.2:{"time":41975,"ypr":{"y":162.91,"p":-0.91,"r":9.12},"acceleration":{"x":-1073,"y":1154,"z":5160}}
0.2:{"time":41990,"ypr":{"y":162.99,"p":-1.01,"r":9.16},"acceleration":{"x":-1105,"y":1232,"z":5283}}
0.2:{"time":42005,"ypr":{"y":163.08,"p":-1.10,"r":9.22},"acceleration":{"x":-1013,"y":1297,"z":5461}}
0.2:{"time":42020,"ypr":{"y":163.18,"p":-1.12,"r":9.30},"acceleration":{"x":-973,"y":1305,"z":5542}}
0.2:{"time":42035,"ypr":{"y":163.28,"p":-1.10,"r":9.37},"acceleration":{"x":-965,"y":1278,"z":5553}}
0.2:{"time":42050,"ypr":{"y":163.37,"p":-1.07,"r":9.40},"acceleration":{"x":-1029,"y":1207,"z":5487}}
0.2:{"time":42065,"ypr":{"y":163.45,"p":-1.07,"r":9.40},"acceleration":{"x":-1087,"y":1160,"z":5375}}
0.2:{"time":42080,"ypr":{"y":163.53,"p":-1.10,"r":9.36},"acceleration":{"x":-1098,"y":1159,"z":5271}}
0.2:{"time":42095,"ypr":{"y":163.58,"p":-1.15,"r":9.31},"acceleration":{"x":-1123,"y":1155,"z":5174}}
0.2:{"time":42110,"ypr":{"y":163.65,"p":-1.24,"r":9.23},"acceleration":{"x":-1102,"y":1254,"z":5115}}
0.2:{"time":42125,"ypr":{"y":163.72,"p":-1.31,"r":9.21},"acceleration":{"x":-1048,"y":1309,"z":5085}}
0.2:{"time":42140,"ypr":{"y":163.80,"p":-1.35,"r":9.20},"acceleration":{"x":-1042,"y":1342,"z":5050}}
0.2:{"time":42156,"ypr":{"y":163.90,"p":-1.37,"r":9.22},"acceleration":{"x":-1031,"y":1363,"z":4998}}
0.2:{"time":42170,"ypr":{"y":163.99,"p":-1.37,"r":9.28},"acceleration":{"x":-1045,"y":1372,"z":4988}}
0.2:{"time":42185,"ypr":{"y":164.10,"p":-1.39,"r":9.35},"acceleration":{"x":-1060,"y":1358,"z":5024}}
0.2:{"time":42201,"ypr":{"y":164.22,"p":-1.41,"r":9.38},"acceleration":{"x":-1098,"y":1348,"z":5022}}
0.2:{"time":42215,"ypr":{"y":164.33,"p":-1.45,"r":9.42},"acceleration":{"x":-1087,"y":1322,"z":5054}}
0.2:{"time":42230,"ypr":{"y":164.42,"p":-1.48,"r":9.45},"acceleration":{"x":-1093,"y":1316,"z":5068}}
0.2:{"time":42246,"ypr":{"y":164.52,"p":-1.54,"r":9.47},"acceleration":{"x":-1061,"y":1330,"z":5093}}
0.2:{"time":42260,"ypr":{"y":164.62,"p":-1.58,"r":9.49},"acceleration":{"x":-1058,"y":1343,"z":5119}}
0.2:{"time":42275,"ypr":{"y":164.73,"p":-1.64,"r":9.51},"acceleration":{"x":-1036,"y":1357,"z":5195}}
0.2:{"time":42290,"ypr":{"y":164.85,"p":-1.70,"r":9.53},"acceleration":{"x":-1018,"y":1346,"z":5235}}
0.2:{"time":42305,"ypr":{"y":164.96,"p":-1.72,"r":9.54},"acceleration":{"x":-1055,"y":1324,"z":5242}}
0.2:{"time":42320,"ypr":{"y":165.07,"p":-1.73,"r":9.54},"acceleration":{"x":-1073,"y":1324,"z":5253}}
0.2:{"time":42335,"ypr":{"y":165.18,"p":-1.75,"r":9.55},"acceleration":{"x":-1069,"y":1334,"z":5279}}
0.2:{"time":42350,"ypr":{"y":165.28,"p":-1.76,"r":9.58},"acceleration":{"x":-1042,"y":1341,"z":5340}}
0.2:{"time":42365,"ypr":{"y":165.38,"p":-1.75,"r":9.62},"acceleration":{"x":-1000,"y":1342,"z":5406}}
0.2:{"time":42380,"ypr":{"y":165.49,"p":-1.72,"r":9.65},"acceleration":{"x":-979,"y":1331,"z":5435}}
0.2:{"time":42395,"ypr":{"y":165.59,"p":-1.67,"r":9.67},"acceleration":{"x":-994,"y":1305,"z":5434}}
0.2:{"time":42411,"ypr":{"y":165.68,"p":-1.61,"r":9.69},"acceleration":{"x":-1017,"y":1275,"z":5401}}
0.2:{"time":42425,"ypr":{"y":165.76,"p":-1.58,"r":9.70},"acceleration":{"x":-1007,"y":1270,"z":5391}}
0.2:{"time":42440,"ypr":{"y":165.84,"p":-1.55,"r":9.69},"acceleration":{"x":-997,"y":1267,"z":5352}}
0.2:{"time":42456,"ypr":{"y":165.90,"p":-1.53,"r":9.68},"acceleration":{"x":-1006,"y":1258,"z":5284}}
0.2:{"time":42470,"ypr":{"y":165.97,"p":-1.52,"r":9.67},"acceleration":{"x":-998,"y":1253,"z":5240}}
0.2:{"time":42485,"ypr":{"y":166.03,"p":-1.51,"r":9.67},"acceleration":{"x":-1010,"y":1272,"z":5210}}
0.2:{"time":42501,"ypr":{"y":166.08,"p":-1.50,"r":9.68},"acceleration":{"x":-1019,"y":1284,"z":5225}}
