5.69,"p":-0.69,"r":15.96},"acceleration":{"x":-2148,"y":-553,"z":5141}}
0.2:{"time":62787,"ypr":{"y":104.09,"p":-0.22,"r":15.86},"acceleration":{"x":-1776,"y":-391,"z":5086}}
0.2:{"time":62801,"ypr":{"y":103.89,"p":-0.31,"r":15.82},"acceleration":{"x":-1793,"y":-313,"z":5064}}
0.2:{"time":62817,"ypr":{"y":103.73,"p":-0.37,"r":15.80},"acceleration":{"x":-1754,"y":-232,"z":5026}}
0.2:{"time":62832,"ypr":{"y":103.59,"p":-0.40,"r":15.80},"acceleration":{"x":-1760,"y":-184,"z":5005}}
0.2:{"time":62846,"ypr":{"y":103.47,"p":-0.41,"r":15.81},"acceleration":{"x":-1761,"y":-164,"z":5123}}
0.2:{"time":62862,"ypr":{"y":103.38,"p":-0.39,"r":15.80},"acceleration":{"x":-1755,"y":-120,"z":5255}}
0.2:{"time":62877,"ypr":{"y":103.29,"p":-0.33,"r":15.76},"acceleration":{"x":-1749,"y":-100,"z":5312}}
0.2:{"time":62892,"ypr":{"y":103.21,"p":-0.24,"r":15.74},"acceleration":{"x":-1702,"y":-155,"z":5275}}
0.2:{"time":62907,"ypr":{"y":103.13,"p":-0.16,"r":15.73},"acceleration":{"x":-1637,"y":-238,"z":5189}}
0.2:{"time":62922,"ypr":{"y":103.06,"p":-0.09,"r":15.72},"acceleration":{"x":-1580,"y":-315,"z":5132}}
0.2:{"time":62937,"ypr":{"y":103.01,"p":-0.05,"r":15.70},"acceleration":{"x":-1555,"y":-368,"z":5125}}
0.2:{"time":62952,"ypr":{"y":102.98,"p":-0.05,"r":15.67},"acceleration":{"x":-1557,"y":-352,"z":5124}}
0.2:{"time":62967,"ypr":{"y":102.98,"p":-0.09,"r":15.63},"acceleration":{"x":-1603,"y":-297,"z":5110}}
0.2:{"time":62982,"ypr":{"y":103.00,"p":-0.14,"r":15.62},"acceleration":{"x":-1646,"y":-243,"z":5080}}
0.2:{"time":62997,"ypr":{"y":103.05,"p":-0.20,"r":15.63},"acceleration":{"x":-1674,"y":-176,"z":5049}}
0.2:{"time":63012,"ypr":{"y":103.12,"p":-0.23,"r":15.68},"acceleration":{"x":-1696,"y":-136,"z":5033}}
0.2:{"time":63027,"ypr":{"y":103.21,"p":-0.22,"r":15.73},"acceleration":{"x":-1728,"y":-124,"z":5049}}
0.2:{"time":63042,"ypr":{"y":103.32,"p":-0.19,"r":15.79},"acceleration":{"x":-1741,"y":-115,"z":5094}}
0.2:{"time":63057,"ypr":{"y":103.47,"p":-0.16,"r":15.84},"acceleration":{"x":-1723,"y":-100,"z":5129}}
0.2:{"time":63072,"ypr":{"y":103.63,"p":-0.11,"r":15.88},"acceleration":{"x":-1716,"y":-113,"z":5153}}
0.2:{"time":63087,"ypr":{"y":103.81,"p":-0.05,"r":15.91},"acceleration":{"x":-1698,"y":-161,"z":5201}}
0.2:{"time":63102,"ypr":{"y":104.00,"p":0.01,"r":15.92},"acceleration":{"x":-1668,"y":-232,"z":5245}}
0.2:{"time":63117,"ypr":{"y":104.17,"p":0.05,"r":15.90},"acceleration":{"x":-1640,"y":-302,"z":5242}}
0.2:{"time":63132,"ypr":{"y":104.32,"p":0.06,"r":15.85},"acceleration":{"x":-1642,"y":-335,"z":5248}}
0.2:{"time":63148,"ypr":{"y":104.47,"p":0.04,"r":15.78},"acceleration":{"x":-1672,"y":-343,"z":5247}}
0.2:{"time":63162,"ypr":{"y":104.61,"p":-0.02,"r":15.70},"acceleration":{"x":-1719,"y":-329,"z":5184}}
0.2:{"time":63177,"ypr":{"y":104.75,"p":-0.10,"r":15.63},"acceleration":{"x":-1808,"y":-298,"z":5100}}
0.2:{"time":63193,"ypr":{"y":104.89,"p":-0.19,"r":15.56},"acceleration":{"x":-1910,"y":-247,"z":5034}}
0.2:{"time":63207,"ypr":{"y":105.05,"p":-0.27,"r":15.50},"acceleration":{"x":-1969,"y":-189,"z":5003}}
0.2:{"time":63222,"ypr":{"y":105.23,"p":-0.34,"r":15.47},"acceleration":{"x":-1979,"y":-118,"z":5008}}
0.2:{"time":63237,"ypr":{"y":105.41,"p":-0.38,"r":15.45},"acceleration":{"x":-1939,"y":-58,"z":5054}}
0.2:{"time":63252,"ypr":{"y":105.60,"p":-0.37,"r":15.46},"acceleration":{"x":-1836,"y":-24,"z":5126}}
0.2:{"time":63267,"ypr":{"y":105.81,"p":-0.31,"r":15.45},"acceleration":{"x":-1729,"y":-35,"z":5200}}
0.2:{"time":63282,"ypr":{"y":106.02,"p":-0.24,"r":15.42},"acceleration":{"x":-1675,"y":-76,"z":5284}}
0.2:{"time":63297,"ypr":{"y":106.23,"p":-0.18,"r":15.34},"acceleration":{"x":-1637,"y":-97,"z":5338}}
0.2:{"time":63312,"ypr":{"y":106.44,"p":-0.09,"r":15.24},"acceleration":{"x":-1611,"y":-133,"z":5332}}
0.2:{"time":63327,"ypr":{"y":106.64,"p":-0.02,"r":15.13},"acceleration":{"x":-1563,"y":-187,"z":5291}}
0.2:{"time":63342,"ypr":{"y":106.83,"p":0.03,"r":14.99},"acceleration":{"x":-1533,"y":-197,"z":5241}}
0.2:{"time":63357,"ypr":{"y":106.98,"p":0.04,"r":14.86},"acceleration":{"x":-1556,"y":-213,"z":5160}}
0.2:{"time":63372,"ypr":{"y":107.13,"p":0.01,"r":14.76},"acceleration":{"x":-1580,"y":-150,"z":5141}}
0.2:{"time":63387,"ypr":{"y":107.27,"p":-0.01,"r":14.67},"acceleration":{"x":-1573,"y":-77,"z":5121}}
0.2:{"time":63403,"ypr":{"y":107.43,"p":0.00,"r":14.60},"acceleration":{"x":-1544,"y":-37,"z":5087}}
0.2:{"time":63417,"ypr":{"y":107.58,"p":0.01,"r":14.56},"acceleration":{"x":-1496,"y":-7,"z":5083}}
0.2:{"time":63432,"ypr":{"y":107.71,"p":0.07,"r":14.53},"acceleration":{"x":-1451,"y":-20,"z":5092}}
0.2:{"time":63448,"ypr":{"y":107.82,"p":0.14,"r":14.51},"acceleration":{"x":-1426,"y":-53,"z":5112}}
0.2:{"time":63462,"ypr":{"y":107.89,"p":0.19,"r":14.49},"acceleration":{"x":-1422,"y":-72,"z":5131}}
0.2:{"time":63477,"ypr":{"y":107.95,"p":0.24,"r":14.46},"acceleration":{"x":-1460,"y":-93,"z":5146}}
0.2:{"time":63493,"ypr":{"y":108.01,"p":0.28,"r":14.44},"acceleration":{"x":-1516,"y":-108,"z":5148}}
0.2:{"time":63507,"ypr":{"y":108.05,"p":0.30,"r":14.45},"acceleration":{"x":-1535,"y":-96,"z":5132}}
0.2:{"time":63522,"ypr":{"y":108.08,"p":0.34,"r":14.45},"acceleration":{"x":-1519,"y":-104,"z":5152}}
0.2:{"time":63538,"ypr":{"y":108.10,"p":0.40,"r":14.40},"acceleration":{"x":-1509,"y":-131,"z":5268}}
0.2:{"time":63552,"ypr":{"y":108.07,"p":0.46,"r":14.32},"acceleration":{"x":-1517,"y":-131,"z":5331}}
0.2:{"time":63567,"ypr":{"y":107.99,"p":0.53,"r":14.23},"acceleration":{"x":-1587,"y":-128,"z":5281}}
0.2:{"time":63583,"ypr":{"y":107.88,"p":0.61,"r":14.13},"acceleration":{"x":-1740,"y":-178,"z":5209}}
0.2:{"time":63597,"ypr":{"y":107.75,"p":0.68,"r":14.05},"acceleration":{"x":-1893,"y":-256,"z":5105}}
0.2:{"time":63612,"ypr":{"y":107.66,"p":0.68,"r":14.08},"acceleration":{"x":-1808,"y":-278,"z":5010}}
0.2:{"time":63628,"ypr":{"y":107.65,"p":0.63,"r":14.16},"acceleration":{"x":-1530,"y":-201,"z":5014}}
0.2:{"time":63642,"ypr":{"y":107.66,"p":0.57,"r":14.22},"acceleration":{"x":-1306,"y":-79,"z":5110}}
0.2:{"time":63657,"ypr":{"y":107.67,"p":0.59,"r":14.22},"acceleration":{"x":-1207,"y":-30,"z":5210}}
0.2:{"time":63672,"ypr":{"y":107.67,"p":0.66,"r":14.15},"acceleration":{"x":-1298,"y":-76,"z":5325}}
0.2:{"time":63687,"ypr":{"y":107.64,"p":0.77,"r":14.00},"acceleration":{"x":-1472,"y":-146,"z":5425}}
0.2:{"time":63703,"ypr":{"y":107.61,"p":0.86,"r":13.85},"acceleration":{"x":-1597,"y":-283,"z":5420}}
0.2:{"time":63717,"ypr":{"y":107.57,"p":0.86,"r":13.67},"acceleration":{"x":-1638,"y":-352,"z":5362}}
0.2:{"time":63732,"ypr":{"y":107.55,"p":0.78,"r":13.50},"acceleration":{"x":-1651,"y":-384,"z":5298}}
0.2:{"time":63748,"ypr":{"y":107.56,"p":0.61,"r":13.36},"acceleration":{"x":-1549,"y":-333,"z":5216}}
0.2:{"time":63762,"ypr":{"y":107.62,"p":0.40,"r":13.28},"acceleration":{"x":-1357,"y":-167,"z":5160}}
0.2:{"time":63777,"ypr":{"y":107.70,"p":0.20,"r":13.23},"acceleration":{"x":-1190,"y":15,"z":5108}}
0.2:{"time":63793,"ypr":{"y":107.76,"p":0.08,"r":13.20},"acceleration":{"x":-1129,"y":182,"z":5079}}
0.2:{"time":63807,"ypr":{"y":107.79,"p":0.07,"r":13.20},"acceleration":{"x":-1160,"y":241,"z":5027}}
0.2:{"time":63822,"ypr":{"y":107.78,"p":0.16,"r":13.22},"acceleration":{"x":-1214,"y":220,"z":5016}}
0.2:{"time":63838,"ypr":{"y":107.77,"p":0.31,"r":13.26},"acceleration":{"x":-1276,"y":134,"z":5064}}
0.2:{"time":63852,"ypr":{"y":107.74,"p":0.47,"r":13.27},"acceleration":{"x":-1306,"y":51,"z":5149}}
0.2:{"time":63867,"ypr":{"y":107.68,"p":0.61,"r":13.27},"acceleration":{"x":-1307,"y":-62,"z":5191}}
0.2:{"time":63883,"ypr":{"y":107.58,"p":0.73,"r":13.23},"acceleration":{"x":-1328,"y":-177,"z":5251}}
0.2:{"time":63897,"ypr":{"y":107.47,"p":0.81,"r":13.19},"acceleration":{"x":-1351,"y":-276,"z":5345}}
0.2:{"time":63912,"ypr":{"y":107.35,"p":0.85,"r":13.12},"acceleration":{"x":-1402,"y":-301,"z":5430}}
0.2:{"time":63928,"ypr":{"y":107.25,"p":0.83,"r":13.04},"acceleration":{"x":-1430,"y":-251,"z":5415}}
0.2:{"time":63942,"ypr":{"y":107.15,"p":0.82,"r":12.98},"acceleration":{"x":-1465,"y":-226,"z":5330}}
0.2:{"time":63958,"ypr":{"y":107.05,"p":0.80,"r":12.96},"acceleration":{"x":-1439,"y":-256,"z":5227}}
0.2:{"time":63973,"ypr":{"y":106.99,"p":0.76,"r":12.96},"acceleration":{"x":-1339,"y":-288,"z":5108}}
0.2:{"time":63987,"ypr":{"y":106.96,"p":0.69,"r":12.98},"acceleration":{"x":-1199,"y":-277,"z":4955}}
0.2:{"time":64003,"ypr":{"y":106.95,"p":0.63,"r":12.97},"acceleration":{"x":-1126,"y":-212,"z":4905}}
0.2:{"time":64018,"ypr":{"y":106.98,"p":0.61,"r":12.90},"acceleration":{"x":-1205,"y":-131,"z":4941}}
0.2:{"time":64032,"ypr":{"y":107.01,"p":0.65,"r":12.85},"acceleration":{"x":-1347,"y":-128,"z":4988}}
0.2:{"time":64048,"ypr":{"y":107.07,"p":0.71,"r":12.82},"acceleration":{"x":-1530,"y":-170,"z":5057}}
0.2:{"time":64062,"ypr":{"y":107.12,"p":0.80,"r":12.83},"acceleration":{"x":-1728,"y":-233,"z":5172}}
0.2:{"time":64077,"ypr":{"y":107.18,"p":0.89,"r":12.90},"acceleration":{"x":-1847,"y":-357,"z":5289}}
0.2:{"time":64093,"ypr":{"y":107.22,"p":0.94,"r":12.97},"acceleration":{"x":-1882,"y":-513,"z":5328}}
0.2:{"time":64107,"ypr":{"y":107.26,"p":0.93,"r":13.02},"acceleration":{"x":-1866,"y":-656,"z":5410}}
0.2:{"time":64122,"ypr":{"y":107.26,"p":0.82,"r":12.98},"acceleration":{"x":-1814,"y":-764,"z":5413}}
0.2:{"time":64138,"ypr":{"y":107.23,"p":0.58,"r":12.92},"acceleration":{"x":-1750,"y":-818,"z":5192}}
0.2:{"time":64152,"ypr":{"y":107.18,"p":0.22,"r":12.82},"acceleration":{"x":-1735,"y":-806,"z":5011}}
0.2:{"time":64167,"ypr":{"y":107.13,"p":-0.16,"r":12.70},"acceleration":{"x":-1705,"y":-744,"z":4827}}
0.2:{"time":64183,"ypr":{"y":107.06,"p":-0.61,"r":12.58},"acceleration":{"x":-1486,"y":-493,"z":4619}}
0.2:{"time":64197,"ypr":{"y":106.98,"p":-1.07,"r":12.44},"acceleration":{"x":-1097,"y":20,"z":4580}}
0.2:{"time":64212,"ypr":{"y":106.89,"p":-1.31,"r":12.25},"acceleration":{"x":-755,"y":458,"z":4768}}
0.2:{"time":64228,"ypr":{"y":106.71,"p":-1.30,"r":12.00},"acceleration":{"x":-701,"y":697,"z":5050}}
0.2:{"time":64242,"ypr":{"y":106.49,"p":-1.07,"r":11.77},"acceleration":{"x":-1074,"y":728,"z":5484}}
0.2:{"time":64258,"ypr":{"y":106.24,"p":-0.72,"r":11.62},"acceleration":{"x":-1599,"y":438,"z":5651}}
0.2:{"time":64273,"ypr":{"y":105.95,"p":-0.53,"r":11.53},"acceleration":{"x":-1915,"y":156,"z":5669}}
0.2:{"time":64287,"ypr":{"y":105.53,"p":-0.53,"r":11.43},"acceleration":{"x":-2103,"y":40,"z":5727}}
0.2:{"time":64303,"ypr":{"y":104.95,"p":-0.66,"r":11.31},"acceleration":{"x":-2222,"y":28,"z":5786}}
0.2:{"time":64318,"ypr":{"y":104.22,"p":-0.93,"r":11.14},"acceleration":{"x":-2159,"y":134,"z":5785}}
0.2:{"time":64332,"ypr":{"y":103.33,"p":-1.22,"r":10.89},"acceleration":{"x":-1878,"y":416,"z":5501}}
0.2:{"time":64348,"ypr":{"y":102.29,"p":-1.43,"r":10.56},"acceleration":{"x":-1726,"y":729,"z":5575}}
0.2:{"time":64363,"ypr":{"y":101.18,"p":-1.55,"r":10.27},"acceleration":{"x":-1730,"y":1042,"z":5716}}
0.2:{"time":64377,"ypr":{"y":100.21,"p":-1.28,"r":10.17},"acceleration":{"x":-1968,"y":727,"z":5717}}
0.2:{"time":64393,"ypr":{"y":99.41,"p":-0.85,"r":10.28},"acceleration":{"x":-2181,"y":56,"z":5745}}
0.2:{"time":64408,"ypr":{"y":98.80,"p":-0.54,"r":10.53},"acceleration":{"x":-2298,"y":-500,"z":5559}}
0.2:{"time":64422,"ypr":{"y":98.31,"p":-0.54,"r":10.87},"acceleration":{"x":-2178,"y":-556,"z":5171}}
0.2:{"time":64438,"ypr":{"y":97.92,"p":-0.67,"r":11.30},"acceleration":{"x":-1914,"y":-259,"z":4737}}
0.2:{"time":64453,"ypr":{"y":97.70,"p":-0.73,"r":11.88},"acceleration":{"x":-1521,"y":212,"z":4554}}
0.2:{"time":64467,"ypr":{"y":97.65,"p":-0.54,"r":12.48},"acceleration":{"x":-1165,"y":614,"z":4642}}
0.2:{"time":64483,"ypr":{"y":97.74,"p":-0.00,"r":13.10},"acceleration":{"x":-899,"y":710,"z":4803}}
0.2:{"time":64497,"ypr":{"y":97.95,"p":0.78,"r":13.64},"acceleration":{"x":-863,"y":443,"z":4950}}
0.2:{"time":64513,"ypr":{"y":98.19,"p":1.55,"r":14.06},"acceleration":{"x":-995,"y":8,"z":4992}}
0.2:{"time":64528,"ypr":{"y":98.41,"p":2.12,"r":14.31},"acceleration":{"x":-1291,"y":-277,"z":4997}}
0.2:{"time":64542,"ypr":{"y":98.60,"p":2.45,"r":14.47},"acceleration":{"x":-1744,"y":-186,"z":5009}}
0.2:{"time":64558,"ypr":{"y":98.74,"p":2.70,"r":14.60},"acceleration":{"x":-2159,"y":-58,"z":5071}}
0.2:{"time":64573,"ypr":{"y":98.93,"p":2.98,"r":14.85},"acceleration":{"x":-2104,"y":-113,"z":5146}}
0.2:{"time":64587,"ypr":{"y":99.20,"p":3.19,"r":15.17},"acceleration":{"x":-1723,"y":-5,"z":5191}}
0.2:{"time":64603,"ypr":{"y":99.48,"p":3.43,"r":15.41},"acceleration":{"x":-1554,"y":275,"z":5106}}
0.2:{"time":64618,"ypr":{"y":99.77,"p":3.79,"r":15.67},"acceleration":{"x":-1499,"y":360,"z":5014}}
0.2:{"time":64632,"ypr":{"y":100.07,"p":4.24,"r":15.93},"acceleration":{"x":-1466,"y":203,"z":5015}}
0.2:{"time":64648,"ypr":{"y":100.37,"p":4.69,"r":16.18},"acceleration":{"x":-1378,"y":-70,"z":4997}}
0.2:{"time":64663,"ypr":{"y":100.64,"p":5.05,"r":16.39},"acceleration":{"x":-1346,"y":-327,"z":5108}}
0.2:{"time":64677,"ypr":{"y":100.80,"p":5.28,"r":16.51},"acceleration":{"x":-1429,"y":-482,"z":5135}}
0.2:{"time":64693,"ypr":{"y":100.88,"p":5.37,"r":16.57},"acceleration":{"x":-1547,"y":-561,"z":5038}}
0.2:{"time":64708,"ypr":{"y":100.86,"p":5.34,"r":16.59},"acceleration":{"x":-1621,"y":-584,"z":5015}}
0.2:{"time":64722,"ypr":{"y":100.79,"p":5.26,"r":16.63},"acceleration":{"x":-1598,"y":-524,"z":4998}}
0.2:{"time":64738,"ypr":{"y":100.67,"p":5.14,"r":16.70},"acceleration":{"x":-1470,"y":-306,"z":4974}}
0.2:{"time":64753,"ypr":{"y":100.51,"p":5.08,"r":16.74},"acceleration":{"x":-1380,"y":-71,"z":5063}}
0.2:{"time":64768,"ypr":{"y":100.31,"p":5.07,"r":16.75},"acceleration":{"x":-1386,"y":92,"z":5174}}
0.2:{"time":64783,"ypr":{"y":100.15,"p":5.20,"r":16.74},"acceleration":{"x":-1403,"y":13,"z":5258}}
0.2:{"time":64798,"ypr":{"y":100.02,"p":5.38,"r":16.64},"acceleration":{"x":-1477,"y":-173,"z":5337}}
0.2:{"time":64813,"ypr":{"y":99.89,"p":5.49,"r":16.54},"acceleration":{"x":-1510,"y":-342,"z":5308}}
0.2:{"time":64828,"ypr":{"y":99.76,"p":5.54,"r":16.46},"acceleration":{"x":-1497,"y":-414,"z":5221}}
0.2:{"time":64843,"ypr":{"y":99.63,"p":5.48,"r":16.38},"acceleration":{"x":-1497,"y":-404,"z":5173}}
0.2:{"time":64858,"ypr":{"y":99.54,"p":5.35,"r":16.33},"acceleration":{"x":-1494,"y":-370,"z":5166}}
0.2:{"time":64873,"ypr":{"y":99.47,"p":5.20,"r":16.31},"acceleration":{"x":-1489,"y":-367,"z":5125}}
0.2:{"time":64887,"ypr":{"y":99.40,"p":4.99,"r":16.26},"acceleration":{"x":-1436,"y":-275,"z":5104}}
0.2:{"time":64903,"ypr":{"y":99.33,"p":4.74,"r":16.15},"acceleration":{"x":-1477,"y":-112,"z":5156}}
0.2:{"time":64918,"ypr":{"y":99.26,"p":4.54,"r":16.05},"acceleration":{"x":-1611,"y":-15,"z":5232}}
0.2:{"time":64932,"ypr":{"y":99.17,"p":4.41,"r":15.93},"acceleration":{"x":-1736,"y":-49,"z":5322}}
0.2:{"time":64948,"ypr":{"y":99.10,"p":4.34,"r":15.82},"acceleration":{"x":-1804,"y":-142,"z":5439}}
0.2:{"time":64963,"ypr":{"y":99.05,"p":4.23,"r":15.71},"acceleration":{"x":-1816,"y":-168,"z":5472}}
0.2:{"time":64977,"ypr":{"y":99.03,"p":4.08,"r":15.64},"acceleration":{"x":-1760,"y":-123,"z":5490}}
0.2:{"time":64993,"ypr":{"y":99.03,"p":3.92,"r":15.57},"acceleration":{"x":-1691,"y":-98,"z":5419}}
0.2:{"time":65008,"ypr":{"y":99.04,"p":3.82,"r":15.56},"acceleration":{"x":-1519,"y":-147,"z":5239}}
0.2:{"time":65022,"ypr":{"y":99.05,"p":3.75,"r":15.57},"acceleration":{"x":-1202,"y":-269,"z":5053}}
0.2:{"time":65038,"ypr":{"y":99.05,"p":3.63,"r":15.49},"acceleration":{"x":-876,"y":-317,"z":4999}}
0.2:{"time":65053,"ypr":{"y":99.02,"p":3.54,"r":15.36},"acceleration":{"x":-906,"y":-311,"z":5296}}
0.2:{"time":65068,"ypr":{"y":98.92,"p":3.39,"r":15.23},"acceleration":{"x":-1062,"y":-195,"z":5349}}
0.2:{"time":65083,"ypr":{"y":98.77,"p":3.24,"r":15.10},"acceleration":{"x":-1254,"y":5,"z":5298}}
0.2:{"time":65098,"ypr":{"y":98.67,"p":3.18,"r":15.05},"acceleration":{"x":-1417,"y":178,"z":5356}}
0.2:{"time":65113,"ypr":{"y":98.64,"p":3.27,"r":15.10},"acceleration":{"x":-1420,"y":403,"z":5294}}
0.2:{"time":65128,"ypr":{"y":98.63,"p":3.49,"r":15.18},"acceleration":{"x":-1362,"y":536,"z":5109}}
0.2:{"time":65143,"ypr":{"y":98.62,"p":3.83,"r":15.25},"acceleration":{"x":-1364,"y":539,"z":5010}}
0.2:{"time":65158,"ypr":{"y":98.65,"p":4.28,"r":15.36},"acceleration":{"x":-1370,"y":436,"z":5043}}
0.2:{"time":65173,"ypr":{"y":98.70,"p":4.79,"r":15.52},"acceleration":{"x":-1311,"y":292,"z":5045}}
0.2:{"time":65188,"ypr":{"y":98.77,"p":5.26,"r":15.65},"acceleration":{"x":-1248,"y":119,"z":5011}}
0.2:{"time":65203,"ypr":{"y":98.83,"p":5.66,"r":15.71},"acceleration":{"x":-1316,"y":-23,"z":5092}}
0.2:{"time":65218,"ypr":{"y":98.92,"p":5.96,"r":15.73},"acceleration":{"x":-1391,"y":-107,"z":5044}}
0.2:{"time":65233,"ypr":{"y":99.03,"p":6.16,"r":15.71},"acceleration":{"x":-1472,"y":-88,"z":4962}}
0.2:{"time":65248,"ypr":{"y":99.14,"p":6.35,"r":15.69},"acceleration":{"x":-1571,"y":-79,"z":4982}}
0.2:{"time":65263,"ypr":{"y":99.24,"p":6.50,"r":15.65},"acceleration":{"x":-1685,"y":-58,"z":5066}}
